Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases
28,56,Male,Shorts,Clothing,56,Summer,5,Yes,Yes,Yes,7,Every 3 Months
29,54,Male,Handbag,Accessories,94,Fall,4.4,Yes,Yes,Yes,41,Every 3 Months
30,31,Male,Dress,Clothing,48,Fall,4.1,Yes,Yes,Yes,14,Weekly
31,57,Male,Jewelry,Accessories,31,Winter,4.7,Yes,Yes,Yes,16,Monthly
32,33,Male,Dress,Clothing,79,Winter,4.7,Yes,Yes,Yes,45,Monthly
33,36,Male,Jacket,Outerwear,67,Summer,4.9,Yes,Yes,Yes,37,Annually
34,54,Male,Pants,Clothing,38,Summer,3.3,Yes,Yes,Yes,45,Quarterly
35,36,Male,T-shirt,Clothing,91,Spring,4.6,Yes,Yes,Yes,38,Quarterly
36,54,Male,Blouse,Clothing,33,Summer,4,Yes,Yes,Yes,48,Bi-Weekly
37,35,Male,T-shirt,Clothing,69,Winter,4.6,Yes,Yes,Yes,44,Fortnightly
38,35,Male,Jeans,Clothing,45,Summer,2.8,Yes,Yes,Yes,10,Weekly
39,29,Male,Dress,Clothing,37,Winter,3.7,Yes,Yes,Yes,44,Every 3 Months
40,70,Male,Pants,Clothing,60,Summer,4.2,Yes,Yes,Yes,18,Monthly
41,69,Male,Handbag,Accessories,76,Winter,4.6,Yes,Yes,Yes,31,Quarterly
42,67,Male,Scarf,Accessories,39,Spring,4.5,Yes,Yes,Yes,40,Annually
43,20,Male,Coat,Outerwear,100,Spring,4.1,Yes,Yes,Yes,15,Annually
44,25,Male,Scarf,Accessories,69,Fall,3.7,Yes,Yes,Yes,19,Fortnightly
45,39,Male,Hat,Accessories,53,Summer,4.6,Yes,Yes,Yes,45,Weekly
46,50,Male,Socks,Clothing,21,Fall,2.9,Yes,Yes,Yes,25,Annually
47,57,Male,Shirt,Clothing,43,Summer,2.9,Yes,Yes,Yes,45,Quarterly
48,55,Male,Jewelry,Accessories,54,Winter,4.5,Yes,Yes,Yes,36,Weekly
49,42,Male,Shirt,Clothing,55,Summer,2.7,Yes,Yes,Yes,38,Monthly
50,68,Male,Hoodie,Clothing,30,Spring,4.6,Yes,Yes,Yes,34,Bi-Weekly
51,49,Male,Blouse,Clothing,28,Spring,3.7,Yes,Yes,Yes,39,Bi-Weekly
52,59,Male,Skirt,Clothing,59,Winter,4.7,Yes,Yes,Yes,7,Quarterly
53,42,Male,T-shirt,Clothing,20,Summer,2.6,Yes,Yes,Yes,26,Weekly
54,29,Male,Skirt,Clothing,24,Winter,3.9,Yes,Yes,Yes,35,Weekly
55,47,Male,Coat,Outerwear,94,Summer,4.2,Yes,Yes,Yes,35,Bi-Weekly
56,40,Male,Jacket,Outerwear,28,Winter,3,Yes,Yes,Yes,49,Annually
57,41,Male,Backpack,Accessories,73,Summer,4.7,Yes,Yes,Yes,46,Weekly
58,21,Male,Coat,Outerwear,64,Summer,4.4,Yes,Yes,Yes,17,Fortnightly
59,69,Male,Hoodie,Clothing,54,Summer,4.2,Yes,Yes,Yes,29,Monthly
60,63,Male,Belt,Accessories,79,Spring,4.6,Yes,Yes,Yes,4,Weekly
61,50,Male,Sweater,Clothing,37,Summer,4,Yes,Yes,Yes,17,Weekly
62,55,Male,Scarf,Accessories,68,Winter,4.7,Yes,Yes,Yes,21,Every 3 Months
63,30,Male,Sneakers,Footwear,21,Spring,3.8,Yes,Yes,Yes,31,Fortnightly
64,33,Male,Sunglasses,Accessories,79,Winter,2.7,Yes,Yes,Yes,43,Weekly
65,65,Male,Boots,Footwear,83,Fall,4.8,Yes,Yes,Yes,18,Fortnightly
66,65,Male,Backpack,Accessories,36,Spring,4.8,Yes,Yes,Yes,44,Every 3 Months
67,31,Male,Blouse,Clothing,94,Winter,4.7,Yes,Yes,Yes,3,Every 3 Months
68,45,Male,Coat,Outerwear,33,Winter,4.4,Yes,Yes,Yes,49,Monthly
69,57,Male,Handbag,Accessories,46,Summer,3.9,Yes,Yes,Yes,21,Every 3 Months
70,48,Male,Belt,Accessories,70,Summer,4.4,Yes,Yes,Yes,5,Weekly
71,22,Male,Belt,Accessories,29,Fall,4.2,Yes,Yes,Yes,32,Every 3 Months
72,36,Male,Dress,Clothing,48,Summer,2.9,Yes,Yes,Yes,34,Annually
73,18,Male,Dress,Clothing,26,Winter,2.9,Yes,Yes,Yes,21,Every 3 Months
74,48,Male,Pants,Clothing,85,Spring,2.7,Yes,Yes,Yes,43,Bi-Weekly
75,49,Male,Gloves,Accessories,58,Spring,4.5,Yes,Yes,Yes,3,Monthly
76,64,Male,Scarf,Accessories,85,Summer,2.7,Yes,Yes,Yes,21,Annually
77,50,Male,Hat,Accessories,43,Summer,4.2,Yes,Yes,Yes,32,Monthly
78,22,Male,Dress,Clothing,53,Summer,3.3,Yes,Yes,Yes,36,Fortnightly
79,50,Male,Skirt,Clothing,91,Spring,4.7,Yes,Yes,Yes,50,Fortnightly
80,38,Male,Jacket,Outerwear,96,Winter,2.6,Yes,Yes,Yes,43,Every 3 Months
81,19,Male,Sandals,Footwear,72,Summer,3.3,Yes,Yes,Yes,24,Every 3 Months
82,67,Male,Shoes,Footwear,96,Summer,2.6,Yes,Yes,Yes,36,Every 3 Months
83,19,Male,Pants,Clothing,28,Spring,4,Yes,Yes,Yes,21,Every 3 Months
84,36,Male,Dress,Clothing,40,Summer,4.1,Yes,Yes,Yes,34,Weekly
85,52,Male,Coat,Outerwear,32,Spring,4.4,Yes,Yes,Yes,42,Every 3 Months
86,53,Male,Sunglasses,Accessories,95,Winter,4.5,Yes,Yes,Yes,2,Bi-Weekly
87,24,Male,Hoodie,Clothing,41,Spring,3.7,Yes,Yes,Yes,47,Bi-Weekly
88,52,Male,Shoes,Footwear,53,Fall,3.7,Yes,Yes,Yes,44,Fortnightly
89,33,Male,T-shirt,Clothing,47,Fall,3.5,Yes,Yes,Yes,35,Monthly
90,47,Male,Jacket,Outerwear,83,Fall,3.6,Yes,Yes,Yes,15,Quarterly
91,25,Male,Hat,Accessories,48,Summer,2.9,Yes,Yes,Yes,29,Monthly
92,44,Male,Scarf,Accessories,99,Winter,4.6,Yes,Yes,Yes,18,Every 3 Months
93,61,Male,Jacket,Outerwear,87,Winter,4.4,Yes,Yes,Yes,13,Every 3 Months
94,37,Male,Sweater,Clothing,62,Fall,4.5,Yes,Yes,Yes,46,Weekly
95,58,Male,Skirt,Clothing,76,Spring,4.6,Yes,Yes,Yes,28,Weekly
96,37,Male,Sneakers,Footwear,100,Fall,3.8,Yes,Yes,Yes,48,Monthly
97,32,Male,Gloves,Accessories,73,Spring,3.6,Yes,Yes,Yes,43,Every 3 Months
98,21,Male,Shoes,Footwear,92,Winter,4.8,Yes,Yes,Yes,37,Annually
99,20,Male,Jeans,Clothing,67,Spring,2.6,Yes,Yes,Yes,20,Annually
100,26,Male,Hoodie,Clothing,40,Summer,3.7,Yes,Yes,Yes,33,Quarterly
101,62,Male,Sunglasses,Accessories,98,Fall,2.7,Yes,Yes,Yes,31,Fortnightly
102,27,Male,Coat,Outerwear,85,Spring,4.6,Yes,Yes,Yes,50,Bi-Weekly
103,51,Male,Socks,Clothing,67,Winter,4.8,Yes,Yes,Yes,35,Quarterly
104,54,Male,Boots,Footwear,89,Winter,4,Yes,Yes,Yes,22,Bi-Weekly
105,55,Male,Sunglasses,Accessories,24,Spring,4.4,Yes,Yes,Yes,1,Monthly
106,69,Male,Backpack,Accessories,96,Fall,3.6,Yes,Yes,Yes,4,Annually
107,64,Male,Jacket,Outerwear,35,Summer,3.7,Yes,Yes,Yes,31,Monthly
108,28,Male,Sneakers,Footwear,67,Winter,3.1,Yes,Yes,Yes,46,Fortnightly
109,70,Male,Socks,Clothing,79,Spring,3.4,Yes,Yes,Yes,32,Bi-Weekly
110,58,Male,T-shirt,Clothing,85,Spring,2.6,Yes,Yes,Yes,43,Fortnightly
111,56,Male,Backpack,Accessories,26,Summer,4,Yes,Yes,Yes,26,Fortnightly
112,26,Male,Belt,Accessories,75,Summer,5,Yes,Yes,Yes,9,Annually
113,37,Male,Gloves,Accessories,65,Spring,4.3,Yes,Yes,Yes,28,Bi-Weekly
114,44,Male,Hat,Accessories,54,Winter,3.1,Yes,Yes,Yes,20,Quarterly
115,70,Male,Coat,Outerwear,95,Summer,3.7,Yes,Yes,Yes,9,Weekly
116,53,Male,Skirt,Clothing,94,Spring,3.8,Yes,Yes,Yes,48,Every 3 Months
117,55,Male,Shoes,Footwear,86,Spring,3.4,Yes,Yes,Yes,12,Annually
118,50,Male,Sandals,Footwear,32,Summer,4.6,Yes,Yes,Yes,29,Fortnightly
119,50,Male,Sweater,Clothing,45,Fall,4.8,Yes,Yes,Yes,27,Bi-Weekly
120,38,Male,Coat,Outerwear,76,Fall,4.3,Yes,Yes,Yes,44,Annually
121,64,Male,Hat,Accessories,84,Summer,4,Yes,Yes,Yes,32,Annually
122,19,Male,Shorts,Clothing,72,Winter,4.2,Yes,Yes,Yes,11,Fortnightly
123,40,Male,Backpack,Accessories,40,Spring,4.8,Yes,Yes,Yes,44,Fortnightly
124,57,Male,Sweater,Clothing,89,Fall,3.1,Yes,Yes,Yes,46,Weekly
125,44,Male,Sweater,Clothing,86,Spring,3.1,Yes,Yes,Yes,50,Annually
126,49,Male,Shorts,Clothing,54,Winter,3.6,Yes,Yes,Yes,45,Every 3 Months
127,43,Male,Shorts,Clothing,36,Spring,3.9,Yes,Yes,Yes,48,Every 3 Months
128,24,Male,Sweater,Clothing,89,Winter,4.8,Yes,Yes,Yes,26,Weekly
129,20,Male,Scarf,Accessories,32,Spring,4.7,Yes,Yes,Yes,21,Fortnightly
130,24,Male,Dress,Clothing,67,Summer,4.2,Yes,Yes,Yes,49,Bi-Weekly
131,44,Male,Scarf,Accessories,39,Fall,3.7,Yes,Yes,Yes,13,Fortnightly
132,28,Male,Skirt,Clothing,29,Summer,3.9,Yes,Yes,Yes,46,Weekly
133,30,Male,Backpack,Accessories,58,Fall,4.7,Yes,Yes,Yes,42,Weekly
134,52,Male,Sweater,Clothing,65,Winter,2.5,Yes,Yes,Yes,25,Annually
135,43,Male,Hat,Accessories,94,Fall,4.9,Yes,Yes,Yes,25,Monthly
136,43,Male,Sandals,Footwear,81,Fall,4.1,Yes,Yes,Yes,12,Quarterly
137,39,Male,Blouse,Clothing,86,Winter,3.3,Yes,Yes,Yes,4,Quarterly
138,68,Male,Sneakers,Footwear,43,Spring,4.7,Yes,Yes,Yes,38,Weekly
139,68,Male,Skirt,Clothing,29,Winter,4.4,Yes,Yes,Yes,42,Weekly
140,49,Male,Coat,Outerwear,95,Fall,3.8,Yes,Yes,Yes,30,Annually
141,63,Male,Shirt,Clothing,28,Fall,3.9,Yes,Yes,Yes,50,Weekly
142,56,Male,Gloves,Accessories,46,Fall,4.9,Yes,Yes,Yes,45,Weekly
143,37,Male,Jacket,Outerwear,58,Fall,3.1,Yes,Yes,Yes,33,Fortnightly
144,30,Male,Coat,Outerwear,48,Fall,2.7,Yes,Yes,Yes,25,Quarterly
145,19,Male,Shoes,Footwear,43,Fall,3.2,Yes,Yes,Yes,25,Monthly
146,24,Male,Jewelry,Accessories,95,Fall,4.5,Yes,Yes,Yes,44,Quarterly
147,52,Male,Skirt,Clothing,30,Fall,4,Yes,Yes,Yes,21,Fortnightly
148,63,Male,Shoes,Footwear,64,Summer,3.5,Yes,Yes,Yes,31,Fortnightly
149,37,Male,Gloves,Accessories,90,Fall,2.6,Yes,Yes,Yes,47,Annually
150,38,Male,Pants,Clothing,76,Summer,3.2,Yes,Yes,Yes,14,Monthly
151,35,Male,Boots,Footwear,96,Fall,4.9,Yes,Yes,Yes,17,Every 3 Months
152,28,Male,Sunglasses,Accessories,47,Fall,4.5,Yes,Yes,Yes,3,Annually
153,30,Male,Shirt,Clothing,85,Summer,4.3,Yes,Yes,Yes,42,Annually
154,69,Male,Hoodie,Clothing,55,Winter,3.2,Yes,Yes,Yes,22,Annually
155,41,Male,Dress,Clothing,98,Fall,3.6,Yes,Yes,Yes,21,Quarterly
156,63,Male,Socks,Clothing,77,Spring,4.3,Yes,Yes,Yes,21,Quarterly
157,35,Male,Shorts,Clothing,26,Fall,4,Yes,Yes,Yes,40,Annually
158,36,Male,Hat,Accessories,68,Fall,3,Yes,Yes,Yes,1,Fortnightly
159,25,Male,Shirt,Clothing,73,Fall,4.1,Yes,Yes,Yes,50,Monthly
160,58,Male,Gloves,Accessories,27,Fall,3.8,Yes,Yes,Yes,39,Every 3 Months
161,27,Male,Gloves,Accessories,23,Summer,4.6,Yes,Yes,Yes,34,Monthly
162,65,Male,Backpack,Accessories,49,Fall,3,Yes,Yes,Yes,29,Fortnightly
163,54,Male,Sunglasses,Accessories,74,Summer,3,Yes,Yes,Yes,31,Bi-Weekly
164,54,Male,Skirt,Clothing,67,Summer,3.4,Yes,Yes,Yes,8,Weekly
165,59,Male,Handbag,Accessories,65,Spring,2.6,Yes,Yes,Yes,5,Fortnightly
166,42,Male,Handbag,Accessories,60,Winter,2.8,Yes,Yes,Yes,7,Monthly
167,46,Male,Sneakers,Footwear,31,Fall,4,Yes,Yes,Yes,30,Monthly
168,33,Male,Gloves,Accessories,27,Fall,4,Yes,Yes,Yes,14,Every 3 Months
169,34,Male,Shoes,Footwear,80,Summer,3,Yes,Yes,Yes,5,Fortnightly
170,27,Male,Jacket,Outerwear,30,Summer,3.3,Yes,Yes,Yes,3,Every 3 Months
171,52,Male,Shirt,Clothing,25,Fall,2.6,Yes,Yes,Yes,46,Bi-Weekly
172,29,Male,Shorts,Clothing,35,Summer,3.6,Yes,Yes,Yes,4,Weekly
173,54,Male,Jewelry,Accessories,67,Summer,3.9,Yes,Yes,Yes,42,Bi-Weekly
174,25,Male,Hat,Accessories,46,Fall,3.4,Yes,Yes,Yes,30,Annually
175,41,Male,Shoes,Footwear,35,Winter,3.5,Yes,Yes,Yes,37,Annually
176,53,Male,Coat,Outerwear,86,Fall,2.8,Yes,Yes,Yes,2,Annually
177,53,Male,Backpack,Accessories,81,Spring,2.7,Yes,Yes,Yes,30,Quarterly
178,21,Male,Hoodie,Clothing,42,Fall,3.7,Yes,Yes,Yes,47,Monthly
179,61,Male,Skirt,Clothing,43,Fall,4.3,Yes,Yes,Yes,21,Quarterly
180,64,Male,Boots,Footwear,31,Fall,4.9,Yes,Yes,Yes,9,Fortnightly
181,51,Male,Sandals,Footwear,81,Fall,3.3,Yes,Yes,Yes,12,Fortnightly
182,32,Male,Pants,Clothing,61,Summer,4.7,Yes,Yes,Yes,4,Weekly
183,38,Male,Gloves,Accessories,96,Summer,2.8,Yes,Yes,Yes,10,Annually
184,58,Male,Skirt,Clothing,29,Spring,3.6,Yes,Yes,Yes,26,Weekly
185,32,Male,Sneakers,Footwear,33,Spring,3,Yes,Yes,Yes,40,Fortnightly
186,46,Male,T-shirt,Clothing,32,Summer,4.5,Yes,Yes,Yes,34,Fortnightly
187,39,Male,Backpack,Accessories,56,Summer,2.9,Yes,Yes,Yes,31,Annually
188,19,Male,Shoes,Footwear,94,Spring,3.3,Yes,Yes,Yes,1,Bi-Weekly
189,50,Male,Hoodie,Clothing,53,Spring,3.1,Yes,Yes,Yes,5,Bi-Weekly
190,36,Male,Blouse,Clothing,82,Fall,4.4,Yes,Yes,Yes,4,Weekly
191,65,Male,Coat,Outerwear,70,Fall,3,Yes,Yes,Yes,48,Quarterly
192,64,Male,Hat,Accessories,76,Fall,3.9,Yes,Yes,Yes,29,Every 3 Months
193,46,Male,Shoes,Footwear,29,Summer,2.9,Yes,Yes,Yes,12,Bi-Weekly
194,36,Male,Belt,Accessories,100,Fall,3,Yes,Yes,Yes,29,Annually
195,51,Male,Backpack,Accessories,94,Spring,3.1,Yes,Yes,Yes,15,Quarterly
196,51,Male,Jacket,Outerwear,25,Fall,4.3,Yes,Yes,Yes,34,Monthly
197,38,Male,Boots,Footwear,88,Summer,3.9,Yes,Yes,Yes,41,Fortnightly
198,59,Male,Scarf,Accessories,78,Fall,3.2,Yes,Yes,Yes,41,Monthly
199,57,Male,Jewelry,Accessories,45,Winter,4.8,Yes,Yes,Yes,39,Fortnightly
200,54,Male,Hat,Accessories,73,Summer,3.8,Yes,Yes,Yes,32,Weekly
201,25,Male,Dress,Clothing,61,Summer,3.3,Yes,Yes,Yes,29,Monthly
202,69,Male,Blouse,Clothing,22,Fall,4.3,Yes,Yes,Yes,15,Annually
203,57,Male,Hat,Accessories,38,Spring,2.7,Yes,Yes,Yes,33,Annually
204,70,Male,Scarf,Accessories,38,Fall,3.2,Yes,Yes,Yes,18,Weekly
205,24,Male,Sneakers,Footwear,100,Fall,4,Yes,Yes,Yes,35,Bi-Weekly
206,67,Male,Shirt,Clothing,64,Winter,3,Yes,Yes,Yes,25,Weekly
207,24,Male,T-shirt,Clothing,55,Summer,4.2,Yes,Yes,Yes,6,Fortnightly
208,62,Male,Gloves,Accessories,91,Summer,2.9,Yes,Yes,Yes,17,Bi-Weekly
209,57,Male,Skirt,Clothing,38,Spring,4.1,Yes,Yes,Yes,17,Monthly
210,55,Male,Sandals,Footwear,97,Winter,3.2,Yes,Yes,Yes,44,Every 3 Months
211,45,Male,Jacket,Outerwear,22,Fall,3,Yes,Yes,Yes,6,Fortnightly
212,69,Male,Skirt,Clothing,92,Fall,4.2,Yes,Yes,Yes,45,Fortnightly
213,67,Male,Handbag,Accessories,84,Fall,4.2,Yes,Yes,Yes,7,Annually
214,30,Male,Handbag,Accessories,93,Fall,4.4,Yes,Yes,Yes,11,Every 3 Months
215,24,Male,Jacket,Outerwear,50,Summer,4.2,Yes,Yes,Yes,41,Every 3 Months
216,62,Male,Scarf,Accessories,64,Spring,2.8,Yes,Yes,Yes,24,Bi-Weekly
217,43,Male,Shorts,Clothing,61,Spring,3.7,Yes,Yes,Yes,21,Weekly
218,35,Male,Sunglasses,Accessories,48,Winter,3.5,Yes,Yes,Yes,24,Annually
219,28,Male,T-shirt,Clothing,45,Spring,2.9,Yes,Yes,Yes,8,Quarterly
220,32,Male,Belt,Accessories,88,Spring,3,Yes,Yes,Yes,12,Fortnightly
221,39,Male,Sneakers,Footwear,57,Spring,3.7,Yes,Yes,Yes,48,Fortnightly
222,28,Male,Hat,Accessories,68,Summer,4.4,Yes,Yes,Yes,6,Quarterly
223,47,Male,Gloves,Accessories,94,Spring,4.5,Yes,Yes,Yes,14,Fortnightly
224,20,Male,Pants,Clothing,41,Spring,4.8,Yes,Yes,Yes,34,Annually
225,63,Male,Socks,Clothing,83,Summer,2.9,Yes,Yes,Yes,12,Every 3 Months
226,25,Male,Jacket,Outerwear,22,Spring,3.2,Yes,Yes,Yes,11,Annually
227,29,Male,Shoes,Footwear,74,Spring,3.3,Yes,Yes,Yes,5,Monthly
228,50,Male,Jeans,Clothing,90,Winter,4.2,Yes,Yes,Yes,25,Fortnightly
229,18,Male,Socks,Clothing,79,Spring,2.9,Yes,Yes,Yes,11,Annually
230,70,Male,Sandals,Footwear,28,Spring,4.6,Yes,Yes,Yes,27,Every 3 Months
231,66,Male,Scarf,Accessories,88,Fall,4.1,Yes,Yes,Yes,43,Annually
232,28,Male,Blouse,Clothing,26,Spring,3.1,Yes,Yes,Yes,18,Every 3 Months
233,54,Male,Jewelry,Accessories,27,Winter,4.2,Yes,Yes,Yes,32,Bi-Weekly
234,19,Male,Sweater,Clothing,83,Fall,4.5,Yes,Yes,Yes,27,Every 3 Months
235,20,Male,Gloves,Accessories,39,Summer,3.7,Yes,Yes,Yes,24,Weekly
236,43,Male,Sunglasses,Accessories,89,Winter,3.7,Yes,Yes,Yes,31,Quarterly
237,38,Male,Coat,Outerwear,68,Winter,3.4,Yes,Yes,Yes,39,Fortnightly
238,50,Male,Dress,Clothing,90,Summer,3,Yes,Yes,Yes,36,Fortnightly
239,64,Male,Skirt,Clothing,34,Fall,4.2,Yes,Yes,Yes,5,Annually
240,49,Male,Pants,Clothing,51,Summer,2.9,Yes,Yes,Yes,47,Bi-Weekly
241,47,Male,Sweater,Clothing,45,Winter,3.5,Yes,Yes,Yes,29,Fortnightly
242,36,Male,Hoodie,Clothing,88,Winter,4.1,Yes,Yes,Yes,43,Bi-Weekly
243,55,Male,Coat,Outerwear,85,Summer,4.3,Yes,Yes,Yes,40,Every 3 Months
244,25,Male,Jewelry,Accessories,100,Winter,2.8,Yes,Yes,Yes,4,Monthly
245,53,Male,Belt,Accessories,42,Spring,4.9,Yes,Yes,Yes,39,Weekly
246,49,Male,Sandals,Footwear,53,Summer,3.3,Yes,Yes,Yes,45,Fortnightly
247,35,Male,Sunglasses,Accessories,86,Spring,3.2,Yes,Yes,Yes,20,Bi-Weekly
248,29,Male,Sweater,Clothing,66,Spring,4.4,Yes,Yes,Yes,14,Weekly
249,47,Male,Belt,Accessories,100,Winter,4.8,Yes,Yes,Yes,33,Weekly
250,53,Male,Handbag,Accessories,47,Fall,4.2,Yes,Yes,Yes,18,Annually
251,33,Male,Skirt,Clothing,25,Fall,4,Yes,Yes,Yes,9,Weekly
252,21,Male,Handbag,Accessories,51,Winter,2.5,Yes,Yes,Yes,34,Annually
253,32,Male,Shorts,Clothing,41,Summer,3.9,Yes,Yes,Yes,33,Fortnightly
254,52,Male,Boots,Footwear,73,Winter,4.9,Yes,Yes,Yes,15,Bi-Weekly
255,67,Male,Sunglasses,Accessories,42,Winter,3.5,Yes,Yes,Yes,4,Bi-Weekly
256,43,Male,Scarf,Accessories,20,Spring,4.2,Yes,Yes,Yes,25,Annually
257,58,Male,Jewelry,Accessories,30,Spring,4.7,Yes,Yes,Yes,20,Every 3 Months
258,20,Male,Handbag,Accessories,53,Summer,4.5,Yes,Yes,Yes,5,Quarterly
259,61,Male,Gloves,Accessories,74,Spring,2.8,Yes,Yes,Yes,16,Quarterly
260,32,Male,Jeans,Clothing,57,Fall,2.9,Yes,Yes,Yes,13,Annually
261,38,Male,Hat,Accessories,57,Winter,3.2,Yes,Yes,Yes,11,Every 3 Months
262,21,Male,Jeans,Clothing,77,Winter,4.9,Yes,Yes,Yes,21,Annually
263,37,Male,Pants,Clothing,40,Summer,3.7,Yes,Yes,Yes,6,Annually
264,27,Male,Shorts,Clothing,46,Summer,4.3,Yes,Yes,Yes,29,Monthly
265,36,Male,Pants,Clothing,78,Fall,3.9,Yes,Yes,Yes,15,Annually
266,32,Male,Backpack,Accessories,59,Spring,3.2,Yes,Yes,Yes,17,Bi-Weekly
267,51,Male,Jewelry,Accessories,75,Summer,3.1,Yes,Yes,Yes,32,Weekly
268,64,Male,Sweater,Clothing,54,Spring,3.9,Yes,Yes,Yes,42,Annually
269,68,Male,Shoes,Footwear,42,Spring,2.6,Yes,Yes,Yes,21,Monthly
270,68,Male,Blouse,Clothing,44,Winter,3.3,Yes,Yes,Yes,9,Bi-Weekly
271,33,Male,Jeans,Clothing,52,Fall,4.6,Yes,Yes,Yes,16,Annually
272,65,Male,Sunglasses,Accessories,69,Summer,4.6,Yes,Yes,Yes,42,Fortnightly
273,48,Male,Jewelry,Accessories,26,Summer,4.4,Yes,Yes,Yes,37,Bi-Weekly
274,69,Male,Coat,Outerwear,33,Spring,4.2,Yes,Yes,Yes,32,Quarterly
275,59,Male,Jewelry,Accessories,32,Spring,3,Yes,Yes,Yes,28,Bi-Weekly
276,48,Male,Backpack,Accessories,85,Winter,4,Yes,Yes,Yes,13,Weekly
277,25,Male,Skirt,Clothing,30,Fall,3.5,Yes,Yes,Yes,11,Fortnightly
278,29,Male,Shirt,Clothing,29,Winter,3,Yes,Yes,Yes,36,Bi-Weekly
279,57,Male,Sweater,Clothing,95,Spring,3.7,Yes,Yes,Yes,23,Annually
280,23,Male,Sneakers,Footwear,69,Summer,4,Yes,Yes,Yes,37,Monthly
281,45,Male,Sandals,Footwear,69,Fall,4.2,Yes,Yes,Yes,21,Bi-Weekly
282,38,Male,Belt,Accessories,61,Spring,2.5,Yes,Yes,Yes,22,Bi-Weekly
283,21,Male,Skirt,Clothing,94,Summer,3,Yes,Yes,Yes,9,Monthly
284,32,Male,Sweater,Clothing,30,Fall,3.2,Yes,Yes,Yes,16,Annually
285,63,Male,Skirt,Clothing,45,Summer,3.5,Yes,Yes,Yes,4,Quarterly
286,29,Male,Handbag,Accessories,39,Summer,4.8,Yes,Yes,Yes,3,Bi-Weekly
287,27,Male,Jewelry,Accessories,51,Summer,2.6,Yes,Yes,Yes,6,Annually
288,56,Male,Scarf,Accessories,37,Spring,3.4,Yes,Yes,Yes,18,Fortnightly
289,30,Male,T-shirt,Clothing,62,Winter,3.7,Yes,Yes,Yes,34,Bi-Weekly
290,49,Male,Coat,Outerwear,85,Fall,4.5,Yes,Yes,Yes,26,Monthly
291,58,Male,T-shirt,Clothing,33,Winter,3.7,Yes,Yes,Yes,50,Weekly
292,57,Male,Dress,Clothing,26,Fall,3.3,Yes,Yes,Yes,40,Monthly
293,60,Male,Shoes,Footwear,99,Spring,4.7,Yes,Yes,Yes,24,Quarterly
294,69,Male,Handbag,Accessories,39,Spring,2.7,Yes,Yes,Yes,33,Annually
